qubits,repeat,seed,accuracy,precision,recall,f1_score,mse,auc_roc_attack,far_benign,far_attack,md_benign,md_attack,val_best_accuracy,epochs_trained,n_features_selected,qpso_time_sec,training_time_sec,inference_time_sec,total_time_sec,memory_mb
1,0,1042,0.9281606800566714,0.9304553682660192,0.9281606800566714,0.9280650478710273,0.05726081132888794,0.9717990915152526,0.10833333333333153,0.035339223203866725,0.035339223203866725,0.10833333333333153,0.927237868309021,24,40,76.67924404144287,2519.080845594406,12.563129663467407,2533.083372592926,24.843871116638184
1,1,1043,0.9295774647887324,0.9319543155039401,0.9295774647887324,0.9294806905896382,0.05297926440834999,0.9785041395788188,0.10749999999999821,0.0333388898149686,0.0333388898149686,0.10749999999999821,0.9334889054298401,35,40,76.67924404144287,3419.105950117111,3.818528413772583,3424.1647622585297,24.843871116638184
1,2,1044,0.9314109509125761,0.9330494600418322,0.9314109509125761,0.931346199753008,0.0548272579908371,0.9749770795132521,0.09933333333333168,0.037839639939989365,0.037839639939989365,0.09933333333333168,0.9321553707122803,23,40,76.67924404144287,2522.5072741508484,12.440217733383179,2535.2811472415924,24.843871116638184
1,3,1045,0.929994166180515,0.9320518870379335,0.929994166180515,0.9299109305383584,0.05242684483528137,0.9789335028060234,0.10449999999999826,0.03550591765294157,0.03550591765294157,0.10449999999999826,0.9302383661270142,35,40,76.67924404144287,3421.0336027145386,10.609408378601074,3432.1601259708405,24.843871116638184
1,4,1046,0.9239936661388449,0.9269835852382726,0.9239936661388449,0.9238606639125186,0.059269923716783524,0.9704118603100517,0.11783333333333137,0.03417236206034282,0.03417236206034282,0.11783333333333137,0.9326554536819458,20,40,76.67924404144287,2037.5062937736511,14.2385995388031,2053.1915714740753,24.843871116638184
2,0,2042,0.9539128260688391,0.9540173380717394,0.9539128260688391,0.9539102042763987,0.034625329077243805,0.9881613046618882,0.05366666666666577,0.03850641773628874,0.03850641773628874,0.05366666666666577,0.9530755281448364,35,40,80.2743628025055,3680.8420729637146,13.151477336883545,3694.5408906936646,24.837824821472168
2,1,2043,0.9483290274189515,0.9486979405746037,0.9483290274189515,0.9483184697193858,0.0389087051153183,0.9836359254320166,0.06599999999999889,0.03733955659276484,0.03733955659276484,0.06599999999999889,0.9500750303268433,28,40,80.2743628025055,2805.481593132019,13.028659582138062,2820.106561899185,24.837824821472168
2,2,2044,0.9513292774397867,0.9514264597330556,0.9513292774397867,0.9513266892123069,0.03560011088848114,0.9860664555203646,0.055999999999999064,0.04134022337056107,0.04134022337056107,0.055999999999999064,0.9540756940841675,33,40,80.2743628025055,3418.1567969322205,7.326648712158203,3427.0834999084473,24.837824821472168
2,3,2045,0.9533294441203434,0.9534183831880836,0.9533294441203434,0.953327184002801,0.03483932465314865,0.9869982774906929,0.05366666666666577,0.03967327887981264,0.03967327887981264,0.05366666666666577,0.9514085650444031,35,40,80.2743628025055,3641.7916209697723,20.85187864303589,3663.824736595154,24.837824821472168
2,4,2046,0.951079256604717,0.9511200156436889,0.951079256604717,0.9510781719905231,0.03761027753353119,0.9858708534755792,0.05366666666666577,0.0441740290048334,0.0441740290048334,0.05366666666666577,0.9541590213775635,35,40,80.2743628025055,3852.8091633319855,20.827118158340454,3874.8180317878723,24.837824821472168
3,0,3042,0.9526627218934911,0.9527174665389103,0.9526627218934911,0.9526612679569388,0.03468962758779526,0.9902531533033284,0.04183333333333263,0.05284214035672524,0.05284214035672524,0.04183333333333263,0.9532421827316284,35,40,82.49143767356873,4023.6855413913727,13.067429304122925,4037.998526096344,24.838675498962402
3,1,3043,0.9560796733061089,0.9563842038910787,0.9560796733061089,0.956072295874945,0.033696454018354416,0.9899716619436574,0.030999999999999483,0.05684280713452147,0.05684280713452147,0.030999999999999483,0.9515752792358398,35,40,82.49143767356873,3700.038905620575,13.261191606521606,3714.4827222824097,24.838675498962402
3,2,3044,0.9585798816568047,0.9586853575257992,0.9585798816568047,0.9585774729941436,0.0312180258333683,0.9919608823692838,0.03383333333333277,0.04900816802800385,0.04900816802800385,0.03383333333333277,0.9580763578414917,35,40,82.49143767356873,3921.914255619049,9.552195072174072,3932.7128944396973,24.838675498962402
3,3,3045,0.9569130760896741,0.9569237347663881,0.9569130760896741,0.9569128157278232,0.03228810429573059,0.9910861671389676,0.04066666666666599,0.04550758459743215,0.04550758459743215,0.04066666666666599,0.9587430953979492,35,40,82.49143767356873,4085.3571660518646,13.59099268913269,4100.187658786774,24.838675498962402
3,4,3046,0.9582465205433787,0.9583384727787203,0.9582465205433787,0.9582444005121756,0.03317778930068016,0.9909256264933044,0.03466666666666609,0.048841473578929005,0.048841473578929005,0.03466666666666609,0.9560760259628296,35,40,82.49143767356873,3886.3796298503876,20.90586829185486,3908.163524389267,24.838675498962402
